fid,ADM3_EN,HISTO_NODATA,HISTO_1,HISTO_2,HISTO_3,HISTO_4
"1",Ajuy,"1337001","71808","78932","141386","79715"
"2",Alimodian,"887607","18655","35801","35718","33432"
"3",Anilao,"677973","46937","59154","145377","89269"
"4",Badiangan,"511757","23523","39260","54244","11594"
"5",Balasan,"269325","46966","47793","124341","75129"
"6",Banate,"274862","29033","40575","83977","122819"
"7",Barotac Nuevo,"355981","103653","107572","226178","166293"
"8",Barotac Viejo,"1310859","79940","85598","192410","137035"
"9",Batad,"332650","14133","21447","43414","37710"
"10",Bingawan,"449436","29073","56578","34286","2072"
"11",Cabatuan,"640523","52712","102755","167488","75814"
"12",Calinog,"1021126","69656","120265","109559","25614"
"13",Carles,"763227","54499","57693","121334","35256"
"14",Concepcion,"741305","17494","25263","40909","33092"
"15",Dingle,"566554","63222","101809","131181","121367"
"16",Dueñas,"603889","71607","83489","136231","24980"
"17",Dumangas,"522036","144176","107370","142414","273640"
"18",Estancia,"181746","16825","25042","38189","25599"
"19",Guimbal,"324798","13341","34802","38435","21262"
"20",Igbaras,"1245630","11985","23870","23252","9893"
"21",Iloilo City,"293923","68844","285335","47719","30489"
"22",Janiuay,"1543798","58327","103404","98090","23694"
"23",Lambunao,"3724614","69107","121534","116736","21846"
"24",Leganes,"90419","40364","67773","33586","83025"
"25",Lemery,"934899","109947","100646","235964","112370"
"26",Leon,"1292548","17692","39522","29628","10951"
"27",Maasin,"1425259","16262","34847","28089","3177"
"28",Miagao,"1561530","23352","44608","44466","25016"
"29",Mina,"128058","37354","56704","94973","76655"
"30",New Lucena,"189741","34169","52344","76464","42161"
"31",Oton,"152079","84626","134241","256588","226062"
"32",City of Passi,"1648260","183216","273551","266868","33913"
"33",Pavia,"56983","31353","84752","36609","44846"
"34",Pototan,"235455","92649","150529","208255","297332"
"35",San Dionisio,"863400","48163","45452","125838","102128"
"36",San Enrique,"681742","78174","100556","161555","32351"
"37",San Joaquin,"1904172","17271","20446","28403","20721"
"38",San Miguel,"85616","33027","53867","82702","76765"
"39",San Rafael,"582750","41864","55710","108866","50946"
"40",Santa Barbara,"252358","63638","130083","156166","90097"
"41",Sara,"1277293","86809","106134","211735","164308"
"42",Tigbauan,"528809","48808","77752","142121","104813"
"43",Tubungan,"877877","4354","9296","8898","2068"
"44",Zarraga,"111209","49812","72114","64072","84903"
